miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	161088	13844.748840	N
hsa-let-7a-2	160250	13772.726718	Y
hsa-let-7a-3	161363	13868.383784	N
hsa-let-7b	372998	32057.407303	N
hsa-let-7c	98677	8480.819684	Y
hsa-let-7d	10668	916.863954	N
hsa-let-7e	10150	872.344313	N
hsa-let-7f-1	42252	3631.358810	N
hsa-let-7f-2	42804	3678.800589	N
hsa-let-7g	8675	745.575066	N
hsa-let-7i	7713	662.895733	N
hsa-mir-1-1	37	3.179974	N
hsa-mir-1-2	32	2.750248	N
hsa-mir-100	152830	13135.012944	Y
hsa-mir-101-1	162271	13946.422073	N
hsa-mir-101-2	162593	13974.096445	N
hsa-mir-103a-1	48517	4169.805817	Y
hsa-mir-103a-2	49134	4222.834038	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.085945	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	51	4.383208	Y
hsa-mir-106b	3570	306.824552	N
hsa-mir-107	341	29.307331	Y
hsa-mir-10a	266926	22941.022477	N
hsa-mir-10b	2648223	227602.194492	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.257836	N
hsa-mir-1180	110	9.453978	N
hsa-mir-1181	3	0.257836	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.601617	N
hsa-mir-1185-2	4	0.343781	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.171891	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.085945	N
hsa-mir-1225	3	0.257836	N
hsa-mir-1226	13	1.117288	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.343781	N
hsa-mir-1229	3	0.257836	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.171891	N
