miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	78542	24340.530662	N
hsa-let-7a-2	78010	24175.661391	Y
hsa-let-7a-3	79160	24532.051733	N
hsa-let-7b	144520	44787.419359	N
hsa-let-7c	35229	10917.630754	Y
hsa-let-7d	2257	699.454785	N
hsa-let-7e	6512	2018.099051	N
hsa-let-7f-1	24449	7576.858676	N
hsa-let-7f-2	24622	7630.472180	N
hsa-let-7g	3503	1085.595973	N
hsa-let-7i	2150	666.294988	N
hsa-mir-1-1	18	5.578284	N
hsa-mir-1-2	20	6.198093	N
hsa-mir-100	32542	10084.916972	N
hsa-mir-101-1	23358	7238.752708	N
hsa-mir-101-2	23363	7240.302231	N
hsa-mir-103a-1	18349	5686.440339	Y
hsa-mir-103a-2	18453	5718.670422	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	32	9.916949	Y
hsa-mir-106b	1429	442.853738	N
hsa-mir-107	128	39.667795	Y
hsa-mir-10a	65698	20360.115396	N
hsa-mir-10b	500500	155107.275043	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.309905	N
hsa-mir-1180	13	4.028760	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	1.859428	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.309905	N
hsa-mir-1197	1	0.309905	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.309905	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.859428	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	3	0.929714	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.309905	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.309905	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	3.408951	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	272	84.294064	N
hsa-mir-1248	2	0.619809	N
hsa-mir-1249	11	3.408951	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	7	2.169333	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.619809	N
