miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	15763	8577.233737	N
hsa-let-7a-2	15856	8627.838491	N
hsa-let-7a-3	15922	8663.751543	N
hsa-let-7b	78513	42721.839271	N
hsa-let-7c	12418	6757.095004	N
hsa-let-7d	660	359.130512	N
hsa-let-7e	1405	764.512682	N
hsa-let-7f-1	3092	1682.472037	N
hsa-let-7f-2	3222	1753.209865	N
hsa-let-7g	481	261.729964	N
hsa-let-7i	741	403.205621	N
hsa-mir-1-1	14	7.617920	N
hsa-mir-1-2	17	9.250331	N
hsa-mir-100	14050	7645.126817	Y
hsa-mir-101-1	15384	8371.005761	N
hsa-mir-101-2	15601	8489.083521	N
hsa-mir-103a-1	9675	5264.526829	Y
hsa-mir-103a-2	9467	5151.346304	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	18	9.794469	Y
hsa-mir-106b	783	426.059381	N
hsa-mir-107	46	25.030308	Y
hsa-mir-10a	44721	24334.357037	N
hsa-mir-10b	398174	216661.261571	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	22	11.971017	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.544137	N
hsa-mir-1185-2	1	0.544137	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.544137	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.544137	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	1.632411	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	216	117.533622	N
hsa-mir-1248	1	0.544137	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	1.088274	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	1.088274	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.544137	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.544137	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	3.808960	N
hsa-mir-125a	1683	915.782807	N
hsa-mir-125b-1	1042	566.990900	N
hsa-mir-125b-2	1189	646.979059	N
hsa-mir-126	3915	2130.296903	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	4.353097	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	26	14.147566	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2377	1293.413982	N
hsa-mir-1270	4	2.176549	N
hsa-mir-1271	6	3.264823	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	1.088274	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	108	58.766811	N
hsa-mir-128-2	57	31.015817	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.544137	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	43	23.397897	N
hsa-mir-1288	2	1.088274	N
hsa-mir-1289-1	2	1.088274	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	2.176549	N
