miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37051	6978.306997	N
hsa-let-7a-2	37154	6997.706355	Y
hsa-let-7a-3	37572	7076.433848	N
hsa-let-7b	92832	17484.283695	N
hsa-let-7c	23016	4334.909013	Y
hsa-let-7d	3778	711.560925	N
hsa-let-7e	4094	771.077403	N
hsa-let-7f-1	10024	1887.953074	N
hsa-let-7f-2	10034	1889.836507	N
hsa-let-7g	2653	499.674731	N
hsa-let-7i	3066	577.460507	N
hsa-mir-1-1	26	4.896925	N
hsa-mir-1-2	20	3.766866	N
hsa-mir-100	39083	7361.020549	Y
hsa-mir-101-1	30311	5708.873266	N
hsa-mir-101-2	30366	5719.232147	N
hsa-mir-103a-1	27761	5228.597893	Y
hsa-mir-103a-2	27610	5200.158058	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.188343	N
hsa-mir-106a	48	9.040478	Y
hsa-mir-106b	2146	404.184686	N
hsa-mir-107	280	52.736119	Y
hsa-mir-10a	213306	40174.752432	N
hsa-mir-10b	1551558	292225.528275	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.376687	N
hsa-mir-1180	70	13.184030	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.376687	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.318403	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	45	8.475448	N
hsa-mir-1229	6	1.130060	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.188343	N
hsa-mir-1237	1	0.188343	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.376687	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	20	3.766866	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	593	111.687567	N
hsa-mir-1248	6	1.130060	N
hsa-mir-1249	41	7.722075	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.565030	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.188343	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	28	5.273612	N
hsa-mir-125a	6476	1219.711104	N
hsa-mir-125b-1	5828	1097.664656	N
hsa-mir-125b-2	5934	1117.629044	N
hsa-mir-126	71214	13412.678592	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.565030	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.318403	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	58	10.923910	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	21	3.955209	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6066	1142.490358	N
hsa-mir-1270	10	1.883433	N
hsa-mir-1271	33	6.215328	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.188343	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.565030	N
hsa-mir-1278	1	0.188343	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	224	42.188896	N
hsa-mir-128-2	120	22.601194	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	377	71.005418	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	12	2.260119	N
hsa-mir-129-2	14	2.636806	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.941716	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	5	0.941716	N
hsa-mir-1295a	8	1.506746	N
hsa-mir-1295b	1	0.188343	N
hsa-mir-1296	75	14.125746	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.188343	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	25	4.708582	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.188343	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	114	21.471134	N
hsa-mir-1307	5818	1095.781223	N
hsa-mir-130a	615	115.831119	N
hsa-mir-130b	55	10.358881	N
hsa-mir-132	460	86.637910	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.376687	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	37	6.968701	Y
hsa-mir-133a-2	31	5.838642	Y
hsa-mir-133b	7	1.318403	Y
hsa-mir-134	2925	550.904104	N
hsa-mir-1343	18	3.390179	N
hsa-mir-135a-1	1	0.188343	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	7	1.318403	N
hsa-mir-136	138	25.991373	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.188343	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	3195	601.756791	N
hsa-mir-140	7903	1488.476970	N
hsa-mir-141	731	137.678940	N
hsa-mir-142	3017	568.231686	N
hsa-mir-143	494241	93086.972785	N
hsa-mir-144	2044	384.973671	N
hsa-mir-145	67458	12705.261219	N
hsa-mir-1468	41	7.722075	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	346	65.166776	N
hsa-mir-146b	1348	253.886746	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.188343	N
hsa-mir-148a	80632	15186.495636	N
hsa-mir-148b	430	80.987612	N
hsa-mir-149	542	102.082060	N
hsa-mir-150	6678	1257.756447	N
hsa-mir-151a	6637	1250.034373	N
hsa-mir-151b	13	2.448463	N
hsa-mir-152	1982	373.296388	N
hsa-mir-153-1	5	0.941716	N
hsa-mir-153-2	110	20.717761	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	50	9.417164	N
hsa-mir-155	606	114.136030	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	551	103.777149	N
hsa-mir-15b	602	113.382657	N
hsa-mir-16-1	1000	188.343284	N
hsa-mir-16-2	1149	216.406433	N
hsa-mir-17	1380	259.913731	Y
hsa-mir-181a-1	3031	570.868492	N
hsa-mir-181a-2	6546	1232.895134	N
hsa-mir-181b-1	339	63.848373	N
hsa-mir-181b-2	319	60.081507	N
hsa-mir-181c	272	51.229373	N
hsa-mir-181d	36	6.780358	N
hsa-mir-182	15853	2985.806073	N
hsa-mir-1825	0	0.000000	N
