miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66863	23219.576635	N
hsa-let-7a-2	67120	23308.825266	Y
hsa-let-7a-3	67382	23399.810251	N
hsa-let-7b	193371	67152.128285	N
hsa-let-7c	34969	12143.717383	Y
hsa-let-7d	1752	608.418681	N
hsa-let-7e	3523	1223.435510	N
hsa-let-7f-1	17459	6063.003282	N
hsa-let-7f-2	17664	6134.193824	N
hsa-let-7g	2596	901.515351	N
hsa-let-7i	1625	564.315272	N
hsa-mir-1-1	4	1.389084	N
hsa-mir-1-2	9	3.125438	N
hsa-mir-100	47960	16655.114120	Y
hsa-mir-101-1	20269	7038.834614	N
hsa-mir-101-2	20263	7036.750989	N
hsa-mir-103a-1	9925	3446.664046	Y
hsa-mir-103a-2	10095	3505.700105	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	20	6.945419	Y
hsa-mir-106b	1038	360.467232	N
hsa-mir-107	100	34.727094	Y
hsa-mir-10a	119438	41477.346128	N
hsa-mir-10b	739395	256770.394180	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.347271	N
hsa-mir-1180	11	3.819980	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.347271	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.694542	N
hsa-mir-1227	1	0.347271	N
hsa-mir-1228	2	0.694542	N
hsa-mir-1229	2	0.694542	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.347271	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	2.778167	N
hsa-mir-1245b	1	0.347271	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	217	75.357793	N
hsa-mir-1248	6	2.083626	N
hsa-mir-1249	39	13.543567	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.347271	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	3.819980	N
hsa-mir-125a	9180	3187.947198	N
hsa-mir-125b-1	10218	3548.414430	N
hsa-mir-125b-2	10424	3619.952243	N
hsa-mir-126	18235	6332.485529	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	3.125438	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	23	7.987232	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2784	966.802288	N
hsa-mir-1270	7	2.430897	N
hsa-mir-1271	37	12.849025	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.694542	N
hsa-mir-1276	1	0.347271	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	119	41.325241	N
hsa-mir-128-2	79	27.434404	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	102	35.421636	N
hsa-mir-1288	1	0.347271	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	17	5.903606	N
hsa-mir-129-2	21	7.292690	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.389084	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.347271	N
hsa-mir-1295a	17	5.903606	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	39	13.543567	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	14	4.861793	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.694542	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	30	10.418128	N
hsa-mir-1307	821	285.109439	N
hsa-mir-130a	907	314.974740	N
hsa-mir-130b	27	9.376315	N
hsa-mir-132	203	70.496000	N
hsa-mir-1321	0	0.000000	N
