miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37494	22416.047436	N
hsa-let-7a-2	37466	22399.307443	Y
hsa-let-7a-3	37675	22524.259539	N
hsa-let-7b	85874	51340.365326	N
hsa-let-7c	21846	13060.782320	Y
hsa-let-7d	1050	627.749768	N
hsa-let-7e	2683	1604.050122	N
hsa-let-7f-1	9638	5762.145015	N
hsa-let-7f-2	9757	5833.289989	N
hsa-let-7g	1221	729.983302	N
hsa-let-7i	844	504.591242	N
hsa-mir-1-1	4	2.391428	N
hsa-mir-1-2	1	0.597857	N
hsa-mir-100	25642	15330.247196	Y
hsa-mir-101-1	4588	2742.967558	N
hsa-mir-101-2	4598	2748.946128	N
hsa-mir-103a-1	8141	4867.153203	Y
hsa-mir-103a-2	8302	4963.408167	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	10	5.978569	Y
hsa-mir-106b	554	331.212735	N
hsa-mir-107	42	25.109991	Y
hsa-mir-10a	70715	42277.452245	N
hsa-mir-10b	507750	303561.852185	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1	0.597857	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	1.195714	N
hsa-mir-1225	1	0.597857	N
hsa-mir-1226	1	0.597857	N
hsa-mir-1227	1	0.597857	N
hsa-mir-1228	1	0.597857	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.597857	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	5.380712	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	158	94.461394	N
hsa-mir-1248	2	1.195714	N
hsa-mir-1249	2	1.195714	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.597857	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.597857	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
