miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25385	14207.319974	N
hsa-let-7a-2	25681	14372.983425	Y
hsa-let-7a-3	25395	14212.916712	N
hsa-let-7b	50094	28036.300444	N
hsa-let-7c	14078	7879.088067	Y
hsa-let-7d	514	287.672345	N
hsa-let-7e	1284	718.621188	N
hsa-let-7f-1	6869	3844.399484	N
hsa-let-7f-2	7051	3946.260120	N
hsa-let-7g	743	415.837650	N
hsa-let-7i	1175	657.616741	N
hsa-mir-1-1	8	4.477391	N
hsa-mir-1-2	4	2.238695	N
hsa-mir-100	23985	13423.776623	Y
hsa-mir-101-1	13594	7608.205938	N
hsa-mir-101-2	13792	7719.021354	N
hsa-mir-103a-1	14205	7950.166643	Y
hsa-mir-103a-2	13979	7823.680359	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	7	3.917717	Y
hsa-mir-106b	537	300.544842	N
hsa-mir-107	46	25.744996	Y
hsa-mir-10a	115357	64562.293096	N
hsa-mir-10b	575006	321815.805748	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.559674	N
hsa-mir-1180	5	2.798369	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.559674	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.559674	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.559674	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	5.596738	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	140	78.354335	N
hsa-mir-1248	1	0.559674	N
hsa-mir-1249	2	1.119348	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.559674	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.559674	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	3.358043	N
hsa-mir-125a	2296	1285.011096	N
hsa-mir-125b-1	1985	1110.952537	N
