miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30679	10897.704587	N
hsa-let-7a-2	30438	10812.097273	Y
hsa-let-7a-3	30952	10994.678848	N
hsa-let-7b	171173	60803.572063	N
hsa-let-7c	31981	11360.197217	Y
hsa-let-7d	837	297.316690	N
hsa-let-7e	2024	718.959356	N
hsa-let-7f-1	4384	1557.271649	N
hsa-let-7f-2	4327	1537.024276	N
hsa-let-7g	945	335.680134	N
hsa-let-7i	1555	552.362549	N
hsa-mir-1-1	25	8.880427	N
hsa-mir-1-2	35	12.432598	N
hsa-mir-100	32748	11632.648712	Y
hsa-mir-101-1	20936	7436.824644	N
hsa-mir-101-2	20903	7425.102480	N
hsa-mir-103a-1	13668	4855.106956	Y
hsa-mir-103a-2	13859	4922.953417	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.355217	N
hsa-mir-105-2	2	0.710434	N
hsa-mir-106a	25	8.880427	Y
hsa-mir-106b	1149	408.144417	N
hsa-mir-107	77	27.351715	Y
hsa-mir-10a	114437	40649.976200	N
hsa-mir-10b	684556	243165.978730	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	34	12.077380	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.710434	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.355217	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.355217	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.355217	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.355217	N
hsa-mir-1229	1	0.355217	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.355217	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	3.552171	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	184	65.359941	N
hsa-mir-1248	2	0.710434	N
hsa-mir-1249	8	2.841737	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	1.420868	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.355217	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	3.196954	N
hsa-mir-125a	2008	713.275883	N
hsa-mir-125b-1	2223	789.647554	N
hsa-mir-125b-2	2482	881.648776	N
hsa-mir-126	10477	3721.609275	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	3.552171	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.355217	N
hsa-mir-1266	28	9.946078	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	3	1.065651	N
hsa-mir-127	7779	2763.233612	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	16	5.683473	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.355217	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.710434	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	116	41.205180	N
hsa-mir-128-2	72	25.575629	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.355217	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	110	39.073878	N
hsa-mir-1288	2	0.710434	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	16	5.683473	N
hsa-mir-129-2	12	4.262605	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.355217	N
hsa-mir-1295a	12	4.262605	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	16	5.683473	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	12	4.262605	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.355217	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	12	4.262605	N
hsa-mir-1307	1123	398.908773	N
