miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52998	13093.720731	N
hsa-let-7a-2	53108	13120.897403	N
hsa-let-7a-3	53603	13243.192429	N
hsa-let-7b	94656	23385.773605	N
hsa-let-7c	28194	6965.628180	N
hsa-let-7d	1255	310.061125	N
hsa-let-7e	3054	754.523248	N
hsa-let-7f-1	20976	5182.344354	N
hsa-let-7f-2	21304	5263.380249	N
hsa-let-7g	2727	673.734413	N
hsa-let-7i	3421	845.194510	N
hsa-mir-1-1	38	9.388305	N
hsa-mir-1-2	39	9.635366	N
hsa-mir-100	31542	7792.787262	N
hsa-mir-101-1	42866	10590.502148	N
hsa-mir-101-2	42947	10610.514062	N
hsa-mir-103a-1	16556	4090.336247	Y
hsa-mir-103a-2	16097	3976.935405	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.247061	N
hsa-mir-106a	33	8.153002	Y
hsa-mir-106b	1249	308.578761	N
hsa-mir-107	124	30.635522	Y
hsa-mir-10a	116606	28808.755039	N
hsa-mir-10b	925435	228638.579658	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.741182	N
hsa-mir-1180	2	0.494121	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.494121	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.247061	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.247061	N
hsa-mir-1225	2	0.494121	N
hsa-mir-1226	2	0.494121	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.729425	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.247061	N
hsa-mir-1243	1	0.247061	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.729425	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	917	226.554623	N
hsa-mir-1248	2	0.494121	N
hsa-mir-1249	17	4.200031	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.247061	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.247061	N
hsa-mir-1255a	4	0.988243	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	22	5.435334	N
hsa-mir-125a	3823	944.512894	N
hsa-mir-125b-1	3048	753.040884	N
hsa-mir-125b-2	3219	795.288257	N
hsa-mir-126	28563	7056.793563	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.729425	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	7.905941	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	1.235303	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3365	831.359113	N
hsa-mir-1270	3	0.741182	N
hsa-mir-1271	10	2.470607	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.247061	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.741182	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	111	27.423733	N
hsa-mir-128-2	85	21.000156	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	124	30.635522	N
hsa-mir-1288	2	0.494121	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	21	5.188274	N
hsa-mir-129-2	35	8.647123	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.247061	N
