miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12998	6925.164218	N
hsa-let-7a-2	12965	6907.582250	Y
hsa-let-7a-3	13347	7111.106849	N
hsa-let-7b	36445	19417.418829	N
hsa-let-7c	11034	5878.770733	Y
hsa-let-7d	698	371.885261	N
hsa-let-7e	1072	571.147564	N
hsa-let-7f-1	3247	1729.959087	N
hsa-let-7f-2	3338	1778.442696	N
hsa-let-7g	876	466.721331	N
hsa-let-7i	1796	956.885285	N
hsa-mir-1-1	9	4.795082	N
hsa-mir-1-2	7	3.729508	N
hsa-mir-100	19678	10484.180758	Y
hsa-mir-101-1	12707	6770.123228	N
hsa-mir-101-2	12706	6769.590441	N
hsa-mir-103a-1	13297	7084.467503	Y
hsa-mir-103a-2	13234	7050.901928	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.532787	N
hsa-mir-105-2	1	0.532787	N
hsa-mir-106a	10	5.327869	Y
hsa-mir-106b	718	382.540999	N
hsa-mir-107	49	26.106558	Y
hsa-mir-10a	60909	32451.517723	N
hsa-mir-10b	477175	254232.592387	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	1.065574	N
hsa-mir-1180	4	2.131148	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.532787	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.532787	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	1.065574	N
hsa-mir-1227	1	0.532787	N
hsa-mir-1228	5	2.663935	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.532787	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	9.590164	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	174	92.704922	N
hsa-mir-1248	3	1.598361	N
hsa-mir-1249	9	4.795082	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.532787	N
hsa-mir-1255a	1	0.532787	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	4.795082	N
hsa-mir-125a	2496	1329.836120	N
hsa-mir-125b-1	2380	1268.032839	N
hsa-mir-125b-2	2526	1345.819727	N
hsa-mir-126	14149	7538.401948	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	3.729508	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	21	11.188525	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4270	2275.000093	N
hsa-mir-1270	3	1.598361	N
hsa-mir-1271	11	5.860656	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	1.598361	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	87	46.352461	N
hsa-mir-128-2	38	20.245902	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	66	35.163936	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	4.795082	N
hsa-mir-129-2	12	6.393443	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.532787	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	1.065574	N
hsa-mir-1295a	3	1.598361	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	30	15.983607	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
