miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	7454	4228.939129	N
hsa-let-7a-2	7419	4209.082291	N
hsa-let-7a-3	7784	4416.160743	N
hsa-let-7b	30489	17297.575140	N
hsa-let-7c	6754	3831.802371	N
hsa-let-7d	546	309.766671	N
hsa-let-7e	689	390.896037	N
hsa-let-7f-1	1620	919.087924	N
hsa-let-7f-2	1627	923.059292	N
hsa-let-7g	368	208.780467	N
hsa-let-7i	836	474.294756	N
hsa-mir-1-1	5	2.836691	N
hsa-mir-1-2	8	4.538706	N
hsa-mir-100	8878	5036.828761	Y
hsa-mir-101-1	5050	2865.058036	N
hsa-mir-101-2	5012	2843.499183	N
hsa-mir-103a-1	8914	5057.252937	Y
hsa-mir-103a-2	8845	5018.106599	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	4	2.269353	Y
hsa-mir-106b	494	280.265083	N
hsa-mir-107	31	17.587485	Y
hsa-mir-10a	61976	35161.353828	N
hsa-mir-10b	730642	414521.135335	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.567338	N
hsa-mir-1180	4	2.269353	N
hsa-mir-1181	1	0.567338	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.567338	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.567338	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	2.269353	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	1.702015	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	372	211.049820	N
hsa-mir-1248	1	0.567338	N
hsa-mir-1249	4	2.269353	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.567338	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	1.134676	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	1.134676	N
hsa-mir-125a	1305	740.376384	N
hsa-mir-125b-1	1180	669.459105	N
hsa-mir-125b-2	1268	719.384869	N
hsa-mir-126	6967	3952.645413	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.567338	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	27	15.318132	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1055	598.541827	N
hsa-mir-1270	2	1.134676	N
hsa-mir-1271	5	2.836691	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	64	36.309646	N
hsa-mir-128-2	29	16.452809	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	89	50.493102	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	1.702015	N
hsa-mir-129-2	5	2.836691	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.567338	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	1.134676	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	24	13.616117	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	3	1.702015	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	12	6.808059	N
hsa-mir-1307	1178	668.324429	N
hsa-mir-130a	113	64.109219	N
hsa-mir-130b	5	2.836691	N
hsa-mir-132	54	30.636264	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	14	7.942735	Y
hsa-mir-133a-2	7	3.971368	N
hsa-mir-133b	2	1.134676	Y
hsa-mir-134	570	323.382788	N
hsa-mir-1343	3	1.702015	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	4	2.269353	N
hsa-mir-136	20	11.346764	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	553	313.738038	N
hsa-mir-140	2850	1616.913941	N
hsa-mir-141	272	154.315997	N
hsa-mir-142	326	184.952261	N
hsa-mir-143	140792	79876.683363	N
hsa-mir-144	162	91.908792	N
hsa-mir-145	9312	5283.053550	N
hsa-mir-1468	21	11.914103	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	97	55.031808	N
hsa-mir-146b	523	296.717892	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	20910	11863.042283	N
hsa-mir-148b	77	43.685043	N
hsa-mir-149	61	34.607632	N
hsa-mir-150	1220	692.152634	N
hsa-mir-151a	2586	1467.136650	N
hsa-mir-151b	2	1.134676	N
hsa-mir-152	373	211.617158	N
hsa-mir-153-1	2	1.134676	N
hsa-mir-153-2	24	13.616117	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.567338	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	1	0.567338	N
hsa-mir-155	126	71.484616	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	80	45.387058	N
hsa-mir-15b	39	22.126191	N
hsa-mir-16-1	101	57.301161	N
hsa-mir-16-2	121	68.647925	N
hsa-mir-17	271	153.748659	Y
hsa-mir-181a-1	854	484.506844	N
hsa-mir-181a-2	1878	1065.461186	N
hsa-mir-181b-1	90	51.060440	N
hsa-mir-181b-2	98	55.599146	N
hsa-mir-181c	50	28.366911	N
hsa-mir-181d	17	9.644750	N
hsa-mir-182	14439	8191.796630	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3754	2129.787696	N
hsa-mir-184	1	0.567338	N
hsa-mir-185	47	26.664897	N
hsa-mir-186	692	392.598052	N
hsa-mir-187	1	0.567338	N
hsa-mir-188	2	1.134676	N
hsa-mir-18a	2	1.134676	N
hsa-mir-18b	1	0.567338	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	8	4.538706	N
hsa-mir-190b	1	0.567338	N
hsa-mir-191	438	248.494143	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.567338	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	128	72.619293	N
hsa-mir-193a	3506	1989.087817	N
hsa-mir-193b	286	162.258732	N
hsa-mir-194-1	42	23.828205	N
hsa-mir-194-2	55	31.203602	N
hsa-mir-195	74	41.983029	N
hsa-mir-196a-1	11	6.240720	N
hsa-mir-196a-2	29	16.452809	N
hsa-mir-196b	182	103.255557	N
hsa-mir-197	533	302.391274	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	10	5.673382	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	1769	1003.621320	Y
hsa-mir-199a-2	2875	1631.097397	Y
hsa-mir-199b	3480	1974.337023	Y
hsa-mir-19a	7	3.971368	N
hsa-mir-19b-1	50	28.366911	N
hsa-mir-19b-2	36	20.424176	N
hsa-mir-200a	216	122.545057	N
hsa-mir-200b	205	116.304336	N
hsa-mir-200c	3905	2215.455768	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	2251	1277.078344	N
hsa-mir-203b	20	11.346764	N
hsa-mir-204	10	5.673382	N
hsa-mir-205	5917	3356.940277	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.567338	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	109	61.839867	N
hsa-mir-20b	7	3.971368	N
hsa-mir-21	44199	25075.782203	N
hsa-mir-210	99	56.166484	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	4	2.269353	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	1	0.567338	N
hsa-mir-214	24	13.616117	N
hsa-mir-215	44	24.962882	N
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	14	7.942735	N
hsa-mir-218-1	30	17.020147	N
hsa-mir-218-2	33	18.722161	N
hsa-mir-219a-1	3	1.702015	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.567338	N
hsa-mir-22	306670	173985.613437	N
hsa-mir-221	113	64.109219	N
hsa-mir-222	52	29.501588	N
hsa-mir-223	216	122.545057	N
hsa-mir-224	130	73.753969	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	2	1.134676	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	99	56.166484	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	3791	2150.779211	Y
hsa-mir-23b	765	434.013742	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	917	520.249152	N
hsa-mir-24-2	931	528.191887	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	10887	6176.611255	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	1157	656.410326	N
hsa-mir-26a-2	1060	601.378518	N
hsa-mir-26b	783	444.225830	N
hsa-mir-27a	800	453.870580	Y
hsa-mir-27b	528	299.554583	Y
hsa-mir-28	11869	6733.737392	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	9	5.106044	N
