miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21033	9073.390803	N
hsa-let-7a-2	21031	9072.528026	Y
hsa-let-7a-3	21380	9223.082554	N
hsa-let-7b	112528	48543.266309	N
hsa-let-7c	23803	10268.336485	Y
hsa-let-7d	941	405.936421	N
hsa-let-7e	1937	835.599201	N
hsa-let-7f-1	3206	1383.030995	N
hsa-let-7f-2	3187	1374.834616	N
hsa-let-7g	659	284.284911	N
hsa-let-7i	1147	494.802418	N
hsa-mir-1-1	37	15.961368	N
hsa-mir-1-2	37	15.961368	N
hsa-mir-100	29467	12711.720001	Y
hsa-mir-101-1	11420	4926.454760	N
hsa-mir-101-2	11705	5049.400435	N
hsa-mir-103a-1	10560	4555.460794	Y
hsa-mir-103a-2	10646	4592.560191	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	15	6.470825	Y
hsa-mir-106b	790	340.796783	N
hsa-mir-107	59	25.451912	Y
hsa-mir-10a	106198	45812.578162	N
hsa-mir-10b	872224	376267.257151	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	14	6.039437	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.431388	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.431388	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	1	0.431388	N
hsa-mir-1228	6	2.588330	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.725553	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	476	205.340846	N
hsa-mir-1248	2	0.862777	N
hsa-mir-1249	11	4.745272	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	33	14.235815	N
hsa-mir-125a	1809	780.381494	N
hsa-mir-125b-1	1864	804.107852	N
hsa-mir-125b-2	2035	877.875257	N
hsa-mir-126	9864	4255.214514	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	1.725553	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	29	12.510262	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1557	671.671634	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	13	5.608048	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.431388	N
hsa-mir-1276	0	0.000000	N
