miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	44964	7803.921017	N
hsa-let-7a-2	44846	7783.441018	Y
hsa-let-7a-3	45555	7906.494572	N
hsa-let-7b	81706	14180.837351	N
hsa-let-7c	23534	4084.544908	Y
hsa-let-7d	4811	834.993862	N
hsa-let-7e	5663	982.866398	N
hsa-let-7f-1	13041	2263.387020	N
hsa-let-7f-2	13253	2300.181595	N
hsa-let-7g	4544	788.653525	N
hsa-let-7i	3366	584.200653	N
hsa-mir-1-1	46	7.983728	N
hsa-mir-1-2	47	8.157288	N
hsa-mir-100	28038	4866.256060	Y
hsa-mir-101-1	21366	3708.268314	N
hsa-mir-101-2	21591	3747.319159	N
hsa-mir-103a-1	43860	7612.311534	Y
hsa-mir-103a-2	43508	7551.218655	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.347119	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	170	29.505083	Y
hsa-mir-106b	3445	597.911838	N
hsa-mir-107	459	79.663725	Y
hsa-mir-10a	193757	33628.332100	N
hsa-mir-10b	1425289	247372.181809	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.520678	N
hsa-mir-1180	76	13.190508	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.694237	N
hsa-mir-1185-2	1	0.173559	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.173559	N
hsa-mir-1224	6	1.041356	N
hsa-mir-1225	1	0.173559	N
hsa-mir-1226	9	1.562034	N
hsa-mir-1227	1	0.173559	N
hsa-mir-1228	37	6.421695	N
hsa-mir-1229	2	0.347119	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.173559	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	33	5.727457	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	359	62.307794	N
hsa-mir-1248	4	0.694237	N
hsa-mir-1249	34	5.901017	N
hsa-mir-1250	3	0.520678	N
hsa-mir-1251	1	0.173559	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.173559	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.347119	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.173559	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	20	3.471186	N
hsa-mir-125a	6697	1162.326729	N
hsa-mir-125b-1	5085	882.549114	N
hsa-mir-125b-2	5085	882.549114	N
hsa-mir-126	124837	21666.624145	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.520678	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.867797	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	56	9.719322	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.867797	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6505	1129.003341	N
hsa-mir-1270	30	5.206779	N
hsa-mir-1271	41	7.115932	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	8	1.388475	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	203	35.232541	N
hsa-mir-128-2	127	22.042033	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.173559	N
hsa-mir-1283-2	1	0.173559	N
hsa-mir-1284	4	0.694237	N
hsa-mir-1285-1	1	0.173559	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	537	93.201352	N
hsa-mir-1288	3	0.520678	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	1.041356	N
hsa-mir-129-2	10	1.735593	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.347119	N
