miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	45213	11491.792974	N
hsa-let-7a-2	44502	11311.078029	Y
hsa-let-7a-3	45191	11486.201232	N
hsa-let-7b	128456	32649.675056	N
hsa-let-7c	26456	6724.324308	Y
hsa-let-7d	1799	457.252020	N
hsa-let-7e	2680	681.175882	N
hsa-let-7f-1	11205	2847.976031	N
hsa-let-7f-2	11506	2924.481232	N
hsa-let-7g	1934	491.564984	N
hsa-let-7i	2941	747.514280	N
hsa-mir-1-1	7	1.779191	N
hsa-mir-1-2	4	1.016680	N
hsa-mir-100	70761	17985.330827	Y
hsa-mir-101-1	45430	11546.947887	N
hsa-mir-101-2	45848	11653.190991	N
hsa-mir-103a-1	20860	5301.988398	Y
hsa-mir-103a-2	21139	5372.901858	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	15	3.812552	Y
hsa-mir-106b	1371	348.467214	N
hsa-mir-107	98	24.908670	Y
hsa-mir-10a	159044	40424.230239	N
hsa-mir-10b	955162	242773.626192	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	6	1.525021	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.254170	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.762510	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.762510	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.762510	N
hsa-mir-1229	1	0.254170	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
