miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30378	11965.768873	N
hsa-let-7a-2	30540	12029.580005	N
hsa-let-7a-3	30497	12012.642482	N
hsa-let-7b	118675	46745.592896	N
hsa-let-7c	25453	10025.831691	N
hsa-let-7d	1037	408.470022	N
hsa-let-7e	1661	654.261047	N
hsa-let-7f-1	5986	2357.860704	N
hsa-let-7f-2	6216	2448.456755	N
hsa-let-7g	1073	422.650273	N
hsa-let-7i	1533	603.842375	N
hsa-mir-1-1	24	9.453501	N
hsa-mir-1-2	19	7.484022	N
hsa-mir-100	24660	9713.472263	Y
hsa-mir-101-1	14048	5533.449244	N
hsa-mir-101-2	13883	5468.456424	N
hsa-mir-103a-1	9538	3756.978850	Y
hsa-mir-103a-2	9619	3788.884416	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	25	9.847397	Y
hsa-mir-106b	875	344.658890	N
hsa-mir-107	83	32.693358	Y
hsa-mir-10a	90146	35508.137495	N
hsa-mir-10b	658989	259573.048384	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	25	9.847397	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.393896	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.393896	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.787792	N
hsa-mir-1229	1	0.393896	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.787792	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	311	122.501617	N
hsa-mir-1248	2	0.787792	N
hsa-mir-1249	10	3.938959	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	3.151167	N
hsa-mir-125a	3334	1313.248845	N
hsa-mir-125b-1	3153	1241.953692	N
hsa-mir-125b-2	3218	1267.556924	N
hsa-mir-126	16593	6535.914244	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	1.181688	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	6.302334	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.787792	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1804	710.588157	N
hsa-mir-1270	2	0.787792	N
hsa-mir-1271	22	8.665709	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.787792	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.393896	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	98	38.601796	N
hsa-mir-128-2	59	23.239857	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	145	57.114902	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	1.181688	N
hsa-mir-129-2	8	3.151167	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.575583	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	1.181688	N
hsa-mir-1295a	3	1.181688	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	12	4.726750	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	4	1.575583	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
