"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIMAT0000062",-0.0298045774647679,4.70308860759494,-0.0547529270504134,0.956464353495535,0.987167597675196,-6.50398731245938
"MIMAT0000063",-0.123772887323928,4.35588607594937,-0.238553079219993,0.81202884226728,0.962062361491601,-6.47732123425537
"MIMAT0000064",0.650855633802832,4.66169620253165,1.15390424432283,0.251787698681518,0.755065826034305,-5.85185870024577
"MIMAT0000065",-0.183860915492945,4.0626329113924,-0.323365254859479,0.747216321602115,0.961614522730469,-6.4537621946362
"MIMAT0000066",-0.0942728873239229,4.11489873417722,-0.180171940530401,0.857448313476068,0.965506027927223,-6.48941096317609
"MIMAT0000067",0.0659119718310008,3.60698734177215,0.123149242839701,0.902280911817911,0.968078332948962,-6.49796704632231
"MIMAT0000068",0.212878521126778,4.34669620253165,0.405989838759769,0.685774769605158,0.961614522730469,-6.42399130130375
"MIMAT0000069",-0.0462693661971674,4.07029113924051,-0.0945332794288119,0.924909012465513,0.970911925838992,-6.50104894317244
"MIMAT0000070",-0.499873239436605,4.49274683544304,-0.907015264733227,0.366974092096841,0.845071798663624,-6.10040076619774
"MIMAT0000071",0.499792253521155,6.26843037974684,1.05587077257357,0.294032156308278,0.794248962570382,-5.95749239388863
"MIMAT0000072",-0.0977130281690011,4.16755696202532,-0.188235494896027,0.851142676770058,0.965331390550077,-6.48794160973155
"MIMAT0000073",-0.134054577464777,3.26664556962025,-0.358020223199928,0.721219611734661,0.961614522730469,-6.44209415535085
"MIMAT0000074",-0.236515845070405,4.49581012658228,-0.518512905090318,0.605453562201757,0.943280742523281,-6.37265040413187
"MIMAT0000075",-0.380470070422517,3.9756835443038,-0.799028458581713,0.426510721328482,0.880219813795701,-6.19076473878175
"MIMAT0000076",-0.181760563380268,3.99764556962025,-0.347942719219636,0.728747155807602,0.961614522730469,-6.44560920271712
"MIMAT0000077",0.349257042253545,7.31413924050633,0.719321744923609,0.473924363171265,0.903415275538884,-6.25023441887334
"MIMAT0000078",-0.166705985915468,6.99505063291139,-0.25704017502054,0.797771656238198,0.962062361491601,-6.47279099543068
"MIMAT0000079",-0.701561619718288,4.51960759493671,-1.17360830146191,0.243844277229676,0.749835913030723,-5.82953072618012
"MIMAT0000080",-0.45919542253518,6.90243037974684,-1.08842917628226,0.279495582592405,0.783759073062371,-5.92341956399534
"MIMAT0000081",-0.671524647887301,4.04422784810127,-1.66271174665797,0.100069666965364,0.493547483673832,-5.15982766912684
"MIMAT0000082",-0.721357394366176,4.3633164556962,-1.37842115049678,0.171706413852096,0.640606295736965,-5.57591251104228
"MIMAT0000083",-1.80221478873237,3.79003797468354,-3.5183004159185,0.000701415379314529,0.0274091548224447,-0.797835803268014
