"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-let-7a-3p",-0.0102433210616333,0.004426042189747,-1.14665151065705,0.251708523341747,0.575949461962755,-9.68542264546139
"hsa-let-7a-5p",34.0186241174202,288.10447807124,2.79811240862591,0.0052059423110171,0.0204366345908029,-6.43587128478333
"hsa-let-7b-3p",0.110960466008838,0.838173684798269,0.542078667440651,0.587844816798092,1,-10.1959642153666
"hsa-let-7b-5p",11.7416371734996,349.902922706864,0.834989415476824,0.403856614552515,0.786547692697637,-9.99421945159666
"hsa-let-7c",5.76289782594469,89.2097950086298,1.54303428601649,0.123033353152678,0.337626410977116,-9.15265639386676
"hsa-let-7d-3p",0.166367068776848,0.786931985390812,0.74617492015503,0.455678659874321,0.864460160604187,-10.0644513435907
"hsa-let-7d-5p",9.68832935322574,44.4407668705619,5.44496907607496,6.04547249818653e-08,4.81238802831832e-07,4.34593380929008
"hsa-let-7e-3p",0.000352688888984216,0.0343420497303595,0.00882711888987092,0.992958243185437,1,-10.3429319136663
"hsa-let-7e-5p",1.90317194141785,23.7434227943755,1.61161297124316,0.107256528590483,0.301930365057961,-9.04459390630027
"hsa-let-7f-1-3p",-0.000935937708997706,0.015736331252996,-0.0733369261371663,0.94154778417002,1,-10.3402799855949
"hsa-let-7f-2-3p",0.00240242681828839,0.00136436090279627,0.872261242118254,0.383205451475871,0.753651863113937,-9.96239785628718
"hsa-let-7f-5p",29.7431833161165,153.896650347435,4.34154120382349,1.50964739857526e-05,8.7272411571815e-05,-0.971047466962231
"hsa-let-7g-3p",-0.00523831936171439,0.0397331248941411,-0.231443981734346,0.817001461686526,1,-10.3161706383762
"hsa-let-7g-5p",1.73791435685631,58.4738780605273,0.67783201491588,0.49798273240515,0.925814051162864,-10.1131271826686
"hsa-let-7i-3p",0,0,0,1,1,-10.3429708982513
"hsa-let-7i-5p",16.2138268869539,51.2427131876984,6.4203809372443,1.81935830575003e-10,1.89100143074329e-09,10.0029450222479
"hsa-miR-1",-0.37901037265215,0.262328116106525,-5.48384826131007,4.87655629132331e-08,3.9604744616982e-07,4.55437620733937
"hsa-miR-100-3p",-0.0740534429583975,0.0319977925965379,-1.14665162229095,0.251708477200294,0.575949461962755,-9.68542251748434
"hsa-miR-100-5p",-1.95656921512584,10.1152213019614,-3.25830676154054,0.00114586882815263,0.00504081769577668,-5.04991178804455
"hsa-miR-101-3p",-0.00397004034806548,0.0297324970479361,-0.263308039803319,0.792349321402255,1,-10.3082833839944
"hsa-miR-101-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-103a-2-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-103a-3p",16.4719162120715,64.042614227747,6.62675796942149,4.77059315212858e-11,5.14505906622039e-10,11.3129728648174
"hsa-miR-103b",0,0,0,1,1,-10.3429708982513
"hsa-miR-105-3p",0.00329800436811254,0.00187296786018642,0.872261669603814,0.383205218395015,0.753651863113937,-9.96239748335259
"hsa-miR-105-5p",0.00175546831652989,0.000996947053262317,0.872260447101925,0.383205884948257,0.753651863113937,-9.96239854985237
"hsa-miR-106a-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-106b-3p",0.0427790315814771,0.0242946164707057,3.7893089783879,0.000157043071354879,0.000772128434161489,-3.19298974349854
"hsa-miR-106b-5p",8.43453422444937,9.78517512382823,15.1028222808381,4.40418828193634e-48,3.15528631913011e-46,95.8937595827339
"hsa-miR-107",10.8729508033425,40.5973930409121,6.92676229289697,6.36743275345617e-12,7.51357064907828e-11,13.2869103121315
"hsa-miR-10a-3p",-0.130684231655346,2.43239613961585,-0.879871911682399,0.379069618815292,0.753651863113937,-9.95572943819799
"hsa-miR-10a-5p",15.0874176208798,36.4888320398196,7.70837238469255,2.30469372379119e-14,3.4501609029292e-13,18.8123930087022
"hsa-miR-10b-3p",-5.48459204165184,42.1195583784161,-6.49715967464014,1.11065394005753e-10,1.18509138497628e-09,10.4857414439001
"hsa-miR-10b-5p",-7.09730014557401,15.771511575482,-7.79754191879575,1.17298075617418e-14,1.85275543061843e-13,19.4775241070752
"hsa-miR-1178-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-1178-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-1179",0,0,0,1,1,-10.3429708982513
"hsa-miR-1180",-0.200742681967242,13.4584880471804,-0.810986602934557,0.417502000028768,0.806848759207813,-10.0139775225539
"hsa-miR-1181",-13.2781174949848,221.277332497423,-3.36428031285713,0.000786787551379256,0.00358703597287906,-4.70132032276524
"hsa-miR-1182",1.70576198616063,21.2302301741864,4.68875034167707,2.99838140846067e-06,1.89739845595334e-05,0.576619551902306
"hsa-miR-1183",-0.783358310638299,58.8863666969441,-0.992343771520371,0.321189880448552,0.707252360241268,-9.85043626546777
"hsa-miR-1184",0,0,0,1,1,-10.3429708982513
"hsa-miR-1185-1-3p",-20.301966978204,349.291157868349,-2.18425890164398,0.029097597834869,0.0981004727004154,-7.95969925671398
"hsa-miR-1185-2-3p",-3.10177591281773,117.469377158768,-0.731309694875787,0.464704215892223,0.876184394020826,-10.0754361261435
"hsa-miR-1185-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-1193",-0.008800958394453,0.00380281091744341,-1.14665147029576,0.251708540024216,0.575949461962755,-9.68542269173155
"hsa-miR-1197",0,0,0,1,1,-10.3429708982513
"hsa-miR-1200",0,0,0,1,1,-10.3429708982513
"hsa-miR-1202",-52.4229198586713,1208.628967653,-1.44016803533659,0.150028506807012,0.399147459754464,-9.30596489363723
"hsa-miR-1203",-0.635816424883399,1.50313863508256,-7.62425194034119,4.33076240282461e-14,6.43519213338235e-13,18.1914045863318
"hsa-miR-1204",0.0021450717010551,0.00121820649866844,0.872261010467215,0.383205577780577,0.753651863113937,-9.96239805837773
"hsa-miR-1205",0,0,0,1,1,-10.3429708982513
"hsa-miR-1206",0,0,0,1,1,-10.3429708982513
"hsa-miR-1207-3p",-0.14756308834224,0.277633015633156,-3.75269389797321,0.000181613100705833,0.000882238158567414,-3.32985849625577
"hsa-miR-1207-5p",-130.163764780426,1653.3669285751,-3.0507381558201,0.00232282011231367,0.00976850554570485,-5.70079940479382
"hsa-miR-1208",-2.51576604270839,29.0467514094154,-5.53127157548844,3.74521928163868e-08,3.10450821444925e-07,4.81055457364119
"hsa-miR-122-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-122-5p",0.00419751013364595,0.00238380568841545,0.872261854544826,0.383205117558397,0.753651863113937,-9.96239732201146
"hsa-miR-1224-3p",-0.00338350057470327,0.104796952801598,-0.0569270260612356,0.954610906154818,1,-10.3413494932898
