"","Row.names","TCGA-AO-A126","TCGA-A2-A0CZ","TCGA-AC-A23G","TCGA-AN-A0XL","TCGA-EW-A3E8","TCGA-B6-A402","TCGA-EW-A1PF","TCGA-AC-A2QI","TCGA-E2-A10F","TCGA-A8-A06N","TCGA-A7-A5ZV","TCGA-LL-A441","TCGA-A7-A3J0","TCGA-AC-A2FM","TCGA-AO-A0JL","TCGA-D8-A1XD","TCGA-E2-A15F","TCGA-E2-A14U","TCGA-B6-A0IQ","TCGA-E2-A108","TCGA-A2-A4RY","TCGA-A8-A07C","TCGA-A2-A0CY","TCGA-A8-A08I","TCGA-E9-A54X","y"
"1","ENSG00000000003",2371,3524,1359,3219,2550,2477,881,2937,1361,3288,3723,5199,303,453,5338,2846,4115,6955,9157,1965,2037,5017,3166,6095,1225,"TSPAN6"
"2","ENSG00000000005",2,70,7,267,346,1,46,4,45,2,1,69,9,74,5,0,7,18,11,363,55,4,0,7,1,"TNMD"
"3","ENSG00000000419",1383,1032,623,2212,2311,3558,2824,1791,1686,3370,2972,4356,1955,2381,1149,2802,3883,1816,3136,2007,1136,6617,1259,4129,1259,"DPM1"
"4","ENSG00000000457",1502,978,891,2562,1955,1689,1820,3135,2067,4290,715,3170,2390,1759,921,1310,1289,2030,1807,1079,1397,2170,1123,2264,770,"SCYL3"
"5","ENSG00000000460",315,144,352,1001,772,1091,434,675,898,1211,368,1137,550,629,329,448,616,437,2111,457,342,3222,445,1617,207,"C1orf112"
"6","ENSG00000000938",369,467,473,398,971,420,486,629,929,125,161,1380,416,187,177,108,332,919,399,1324,496,537,114,5501,55,"FGR"
"7","ENSG00000000971",3546,3692,2702,8523,2883,695,4310,3786,4536,290,90,3024,831,1103,1261,1783,1220,993,645,6541,2807,5337,470,1911,39,"CFH"
"8","ENSG00000001036",2328,1865,1423,3115,2771,3435,4518,3848,2397,3395,3394,3764,4642,3096,2144,1180,2181,2133,4576,3106,1173,3993,4329,8052,3983,"FUCA2"
"9","ENSG00000001084",1111,1361,665,2185,2386,4023,2589,2006,2276,6603,2103,3503,2996,1668,764,1243,2024,3305,2056,2143,1205,7899,832,8446,1532,"GCLC"
"10","ENSG00000001167",2226,1338,906,3108,2282,4518,3536,2386,3589,3826,2971,10241,3223,2941,3358,4571,2181,2639,10281,1854,1705,11961,1419,5564,2079,"NFYA"
"11","ENSG00000001460",695,597,358,763,699,692,459,855,610,1658,429,864,1353,796,332,765,491,992,919,595,581,976,675,1763,686,"STPG1"
"12","ENSG00000001461",2702,3023,1238,2891,2620,1884,2174,2716,2497,13472,2448,3716,7831,5222,1285,3941,1684,4837,2669,2154,2263,8607,2125,13873,2123,"NIPAL3"
"13","ENSG00000001497",3796,2269,1373,2738,4832,2593,3371,3680,2744,6922,3010,4012,3409,4741,1780,2550,2701,4130,12521,2069,2333,3282,2624,6624,1666,"LAS1L"
"14","ENSG00000001561",466,1092,377,1941,1363,1191,2665,4995,1236,6330,338,1565,5014,951,627,809,998,892,523,1282,628,2129,741,4669,1607,"ENPP4"
"15","ENSG00000001617",4032,1304,3071,9569,9968,1800,9686,11646,9480,18284,677,1904,4236,14633,3503,6989,10581,8104,3005,4330,6179,1259,3011,14978,4248,"SEMA3F"
"16","ENSG00000001626",4,16,38,18,20,1,21,18,6,1,2,62,76,13,0,19,17,388,34,16,39,70,68,48,37,"CFTR"
"17","ENSG00000001629",2889,2967,1843,6009,4062,4841,7460,4251,4697,8688,2850,9442,5878,6291,2817,5880,5740,4036,4964,3693,2614,2897,1142,10862,3989,"ANKIB1"
"18","ENSG00000001630",54,133,207,357,474,294,771,307,308,429,119,395,703,535,31,387,373,312,150,121,239,223,42,574,207,"CYP51A1"
"19","ENSG00000001631",1759,1224,760,3022,2596,2814,2339,1921,2007,4312,995,4701,3057,2589,1178,2384,3258,2249,2745,1683,1827,4272,474,3889,2519,"KRIT1"
"20","ENSG00000002016",482,301,179,598,666,919,410,514,795,1035,426,1238,569,1337,719,683,613,840,883,361,848,891,282,788,333,"RAD52"
"21","ENSG00000002079",13,14,7,9,17,71,10,18,12,23,13,59,29,37,26,34,19,20,35,6,11,25,32,31,4,NA
"22","ENSG00000002330",6732,1674,1274,1984,5146,1528,1680,3705,1830,1511,1888,3320,4413,2507,1219,1433,1892,3490,1918,1217,1696,1955,1110,2465,2918,"BAD"
"23","ENSG00000002549",2682,5941,3013,5205,14622,4349,10921,7098,8690,17088,1944,8107,7998,7446,731,2935,7821,5337,4706,11705,3734,9472,972,44920,2808,"LAP3"
"24","ENSG00000002586",18468,15902,11300,10431,14530,5158,12076,13193,12728,2554,9216,9160,8307,9961,8763,8746,4052,10284,3356,11531,6982,5081,3346,12830,4330,"CD99"
"25","ENSG00000002587",227,243,229,205,344,247,313,283,425,66,135,657,368,175,305,40,183,255,330,422,469,679,526,284,59,"HS3ST1"
"26","ENSG00000002726",9,28,65,6,62,20,39,37,40,14,110,306,14,7,7,14,1432,15,96,62,45,54,35,123,4,"AOC1"
"27","ENSG00000002745",29,8,0,3,11,14,1,6,4,1,4,79,2,1,18,1,9,1,6,15,3,14,13,5,9,"WNT16"
"28","ENSG00000002746",143,16,42,10,37,12,49,47,125,2,256,18,37,8,17,122,9,40,66,20,137,27,90,25,1,"HECW1"
"29","ENSG00000002822",2026,1529,913,1589,2599,1023,1519,2171,1281,3445,1971,2427,1611,1894,1235,1026,1145,1870,1765,1330,1262,1125,1177,1535,1175,"MAD1L1"
"30","ENSG00000002834",23327,19595,9542,41292,20233,10436,26000,44909,26222,62199,7127,22661,74042,66357,9026,23626,14547,24629,12685,15654,11307,31686,11456,36959,14987,"LASP1"
"31","ENSG00000002919",1640,1068,551,1703,2141,1218,1925,1990,1506,5218,855,1565,3867,2729,517,1019,1296,1934,1326,1580,1077,2971,845,2684,1014,"SNX11"
"32","ENSG00000002933",1582,1844,2040,1352,2354,4359,1512,3202,1448,219,324,3259,3787,654,1006,712,7276,1686,925,5925,1636,2318,1598,5462,239,"TMEM176A"
"33","ENSG00000003056",1199,3138,1901,4535,4659,2853,4876,4250,6131,14529,3846,7262,6883,7400,388,3517,3863,5533,3155,4212,3085,20005,1516,14771,2553,"M6PR"
"34","ENSG00000003096",67,644,204,917,317,411,1043,305,142,1031,387,785,57,202,622,206,109,2021,8085,628,1835,1828,654,53,79,"KLHL13"
"35","ENSG00000003137",408,381,449,722,433,1329,311,253,169,421,1620,555,425,279,170,183,81,353,249,276,442,100,37,462,33,"CYP26B1"
"36","ENSG00000003147",4940,2112,1222,4920,4244,1822,2951,6218,2655,3403,128,2427,5922,1987,1040,574,1282,5062,1459,1292,2432,1415,2654,1544,3360,"ICA1"
"37","ENSG00000003249",1244,1540,448,575,1248,3615,8914,2832,1510,2999,866,4243,6385,3322,11611,4195,2503,2313,2128,772,1035,1050,10643,4087,5459,"DBNDD1"
"38","ENSG00000003393",1182,1150,801,1862,1859,1248,2255,2020,2221,3934,759,1751,1931,1422,1004,2821,2162,1999,2722,1285,1472,10005,942,3249,1153,"ALS2"
"39","ENSG00000003400",482,451,410,888,924,120,692,749,487,265,110,1107,381,264,292,168,261,318,1830,1274,573,806,81,1558,36,"CASP10"
"40","ENSG00000003402",3203,4160,2117,6424,7622,7151,7252,4690,5460,3457,2153,11055,5766,2767,3431,2549,5244,6596,9162,7108,6529,11073,1266,15763,2296,"CFLAR"
"41","ENSG00000003436",907,1337,947,3119,1163,402,1295,1644,772,212,141,1181,483,490,1338,321,394,727,376,1964,1434,1440,107,369,29,"TFPI"
"42","ENSG00000003509",691,358,277,738,1065,927,649,710,776,909,494,1194,1179,523,517,445,933,787,1088,590,649,3148,515,859,557,"NDUFAF7"
